Charge Identifier,CDM Description, 2019 Price ,,,
NDC51079098501,BUSPIRONE 5 MG TABLET, $6.82 ,,,
NDC51079099101,TRAMADOL 50 MG TABLET, $7.00 ,,,
NDC51079099156,TRAMADOL 50 MG TABLET, $7.00 ,,,
NDC51079099201,FLUVOXAMINE 50 MG TABLET, $7.00 ,,,
NDC51079099601,PROPAFENONE 150 MG TABLET, $5.25 ,,,
NDC51079099801,TIZANIDINE 4 MG TABLET, $6.78 ,,,
NDC51079099820,TIZANIDINE 4 MG TABLET, $7.00 ,,,
NDC51293081101,PHENAZOPYRIDINE 200 MG TABLET, $24.16 ,,,
NDC51409000722,DERMOPLAST (WITH MENTHOL) 20 %-0.5 % TOPICAL AEROSOL, $29.37 ,,,
NDC51525029403,AZELASTINE 137 MCG (0.1 %) NASAL SPRAY AEROSOL, $524.90 ,,,
NDC51525043001,FELBAMATE 400 MG TABLET, $57.05 ,,,
NDC51552005506,ACETIC ACID (BULK) 5 % LIQUID, $27.70 ,,,
NDC51645091301,VITAMIN B-12 500 MCG TABLET, $7.00 ,,,
NDC51660014030,VALSARTAN 40 MG TABLET, $7.00 ,,,
NDC51672125802,CLOBETASOL 0.05 % TOPICAL CREAM, $848.61 ,,,
NDC51672125901,CLOBETASOL 0.05 % TOPICAL OINTMENT, $572.52 ,,,
NDC51672200102,MICONAZOLE NITRATE 2 % TOPICAL CREAM, $26.95 ,,,
NDC51672211600,FEVERALL 325 MG RECTAL SUPPOSITORY, $8.54 ,,,
NDC51672211602,FEVERALL 325 MG RECTAL SUPPOSITORY, $10.60 ,,,
NDC51672400105,NORTRIPTYLINE 10 MG CAPSULE, $7.00 ,,,
NDC51672400201,NORTRIPTYLINE 25 MG CAPSULE, $7.00 ,,,
NDC51672411606,METRONIDAZOLE 0.75 % TOPICAL GEL, $859.20 ,,,
NDC51672529605,PROMETHAZINE 12.5 MG RECTAL SUPPOSITORY, $147.40 ,,,
NDC51672529704,PROMETHAZINE 25 MG RECTAL SUPPOSITORY, $147.40 ,,,
NDC51754050001,CAFFEINE CITRATE 60 MG-3 ML (20 MG-ML) INTRAVENOUS SOLUTION, $29.48 ,,,
NDC51754050201,CAFFEINE CITRATE 60 MG-3 ML (20 MG-ML) INTRAVENOUS SOLUTION, $30.27 ,,,
NDC51862031801,NECON 0.5-35 (28) 0.5 MG-35 MCG TABLET, $13.03 ,,,
NDC51862033301,ESTRADIOL 1 MG TABLET, $7.00 ,,,
NDC51862045301,CLONIDINE 0.1 MG-24 HR WEEKLY TRANSDERMAL PATCH, $401.10 ,,,
NDC51862045401,CLONIDINE 0.2 MG-24 HR WEEKLY TRANSDERMAL PATCH, $675.30 ,,,
NDC51862045404,CLONIDINE 0.2 MG-24 HR WEEKLY TRANSDERMAL PATCH, $675.30 ,,,
NDC51862045501,CLONIDINE 0.3 MG-24 HR WEEKLY TRANSDERMAL PATCH, $936.80 ,,,
NDC51862056401,LOW-OGESTREL (28) 0.3 MG-30 MCG TABLET, $12.38 ,,,
NDC51862058201,BUDESONIDE DR - ER 3 MG CAPSULEDELAYEDEXTENDED RELEASE, $207.00 ,,,
NDC51927165700,PHENOL LIQUID, $13.56 ,,,
NDC51991052601,TERBINAFINE HCL 250 MG TABLET, $7.00 ,,,
NDC51991081801,PROPRANOLOL ER 80 MG CAPSULE24 HREXTENDED RELEASE, $29.70 ,,,
NDC51991083801,CYPROHEPTADINE 4 MG TABLET, $7.00 ,,,
NDC51991093498,LABETALOL 5 MG-ML INTRAVENOUS SOLUTION, $10.49 ,,,
NDC52015008001,DIFICID 200 MG TABLET," $2,754.84 ",,,
NDC52244010010,THEO-24 100 MG CAPSULEEXTENDED RELEASE, $30.22 ,,,
NDC52244020010,THEO-24 200 MG CAPSULEEXTENDED RELEASE, $44.93 ,,,
NDC52244040010,THEO-24 400 MG CAPSULEEXTENDED RELEASE, $77.70 ,,,
NDC52268040001,NULYTELY WITH FLAVOR PACKS 420 GRAM ORAL SOLUTION, $174.65 ,,,
NDC52959006030,ERY-TAB 250 MG TABLETDELAYED RELEASE, $7.00 ,,,
NDC53489012005,DOXYCYCLINE HYCLATE 100 MG TABLET, $20.28 ,,,
NDC53489014101,QUINIDINE GLUCONATE ER 324 MG TABLETEXTENDED RELEASE, $109.65 ,,,
NDC53489038601,MINOXIDIL 2.5 MG TABLET, $7.00 ,,,
NDC53746017901,METFORMIN ER 750 MG TABLETEXTENDED RELEASE 24 HR, $7.00 ,,,
NDC53746051101,SPIRONOLACTONE 25 MG TABLET, $7.00 ,,,
NDC54092018981,PENTASA 250 MG CAPSULECONTROLLED RELEASE, $44.39 ,,,
NDC54092025245,FOSRENOL 500 MG CHEWABLE TABLET, $168.55 ,,,
NDC54092047612,LIALDA 1.2 GRAM TABLETDELAYED RELEASE, $136.65 ,,,
NDC54162001101,DIBUCAINE 1 % TOPICAL OINTMENT, $36.32 ,,,
NDC54162055007,MEN-PHOR 0.5 %-0.5 % LOTION, $23.55 ,,,
NDC54162055501,ANALGESIC GRX BALM TOPICAL OINTMENT, $12.00 ,,,
NDC54288010301,EPINEPHRINE HCL (PF) 1 MG-ML (1 ML) INJECTION SOLUTION, $21.70 ,,,
NDC54458010022,GLUCOSAMINE-CHONDROITIN 500 MG-400 MG CAPSULE, $7.00 ,,,
NDC54569524700,NALOXONE 0.4 MG-ML INJECTION SOLUTION, $837.52 ,,,
NDC54643564901,INFUVITE ADULT 3300 UNIT-150 MCG-10 ML INTRAVENOUS SOLUTION, $146.69 ,,,
NDC54838050115,HALOPERIDOL 2 MG-ML ORAL CONCENTRATE, $90.50 ,,,
NDC54838050280,HYDROXYZINE HCL 10 MG-5 ML ORAL SOLUTION, $21.03 ,,,
NDC54838056670,LAMIVUDINE 10 MG-ML ORAL SOLUTION, $51.84 ,,,
NDC54838057059,ARIPIPRAZOLE 1 MG-ML ORAL SOLUTION, $231.34 ,,,
NDC55111017001,OXAPROZIN 600 MG TABLET, $44.35 ,,,
NDC55111017915,TIZANIDINE 2 MG TABLET, $7.39 ,,,
NDC55111030230,DONEPEZIL 23 MG TABLET, $27.45 ,,,
NDC55111035560,RIVASTIGMINE 6 MG CAPSULE, $10.47 ,,,
NDC55111052601,TACROLIMUS 1 MG CAPSULE, $22.33 ,,,
NDC55111068011,FONDAPARINUX 7.5 MG-0.6 ML SUBCUTANEOUS SOLUTION SYRINGE, $99.93 ,,,
NDC55111068507,ZOLEDRONIC ACID 4 MG-5 ML INTRAVENOUS SOLUTION, $344.94 ,,,
NDC55111068852,ZOLEDRONIC ACID 5 MG-100 ML IN MANNITOL 5 %-WATER INTRAVENOUS PIGGYBCK, $240.15 ,,,
NDC55150011620,AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION, $15.25 ,,,
NDC55150011720,AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION, $44.93 ,,,
NDC55150012316,NAFCILLIN 2 GRAM SOLUTION FOR INJECTION, $363.98 ,,,
NDC55150015411,ACYCLOVIR SODIUM 50 MG-ML INTRAVENOUS SOLUTION, $1.89 ,,,
NDC55150015521,ACYCLOVIR SODIUM 50 MG-ML INTRAVENOUS SOLUTION, $1.76 ,,,
NDC55150015872,LIDOCAINE (PF) 10 MG-ML (1 %) INJECTION SOLUTION, $17.40 ,,,
NDC55150015974,LIDOCAINE (PF) 10 MG-ML (1 %) INJECTION SOLUTION, $20.65 ,,,
NDC55150016205,LIDOCAINE (PF) 10 MG-ML (1 %) INJECTION SOLUTION, $29.30 ,,,
NDC55150016330,LIDOCAINE (PF) 10 MG-ML (1 %) INJECTION SOLUTION, $44.30 ,,,
NDC55150016505,LIDOCAINE (PF) 20 MG-ML (2 %) INJECTION SOLUTION, $37.10 ,,,
NDC55150016830,BUPIVACAINE (PF) 0.25 % (2.5 MG-ML) INJECTION SOLUTION, $1.06 ,,,
NDC55150017030,BUPIVACAINE (PF) 0.5 % (5 MG-ML) INJECTION SOLUTION, $1.38 ,,,
NDC55150017305,SUMATRIPTAN 6 MG-0.5 ML SUBCUTANEOUS SOLUTION, $405.52 ,,,
NDC55150020200,PANTOPRAZOLE 40 MG INTRAVENOUS SOLUTION, $83.90 ,,,
NDC55150020210,PANTOPRAZOLE 40 MG INTRAVENOUS SOLUTION, $83.90 ,,,
NDC55299060104,MOI-STIR MUCOSAL SPRAY WITH PUMP, $48.30 ,,,
NDC55390007710,PROCHLORPERAZINE EDISYLATE 10 MG-2 ML (5 MG-ML) INJECTION SOLUTION, $83.62 ,,,
NDC55390034210,BUTORPHANOL TARTRATE 2 MG-ML INJECTION SOLUTION, $46.43 ,,,
NDC55513002101,ARANESP 40 MCG-0.4 ML (IN POLYSORBATE) INJECTION SYRINGE, $20.53 ,,,
NDC55513002301,ARANESP 60 MCG-0.3 ML (IN POLYSORBATE) INJECTION SYRINGE, $20.42 ,,,
NDC55513002501,ARANESP 100 MCG-0.5 ML (IN POLYSORBATE) INJECTION SYRINGE, $20.54 ,,,
NDC55513002701,ARANESP 150 MCG-0.3 ML (IN POLYSORBATE) INJECTION SYRINGE, $20.56 ,,,
NDC55513002801,ARANESP 200 MCG-0.4 ML (IN POLYSORBATE) INJECTION SYRINGE, $20.48 ,,,
NDC55513003201,ARANESP 500 MCG-ML (IN POLYSORBATE) INJECTION SYRINGE, $20.56 ,,,
NDC55513007330,SENSIPAR 30 MG TABLET, $401.77 ,,,
NDC55513022101,NPLATE 250 MCG SUBCUTANEOUS SOLUTION, $216.54 ,,,
NDC55513073001,XGEVA 120 MG-1.7 ML (70 MG-ML) SUBCUTANEOUS SOLUTION, $51.14 ,,,
NDC55513080060,CORLANOR 5 MG TABLET, $95.66 ,,,
NDC55513081060,CORLANOR 7.5 MG TABLET, $108.25 ,,,
NDC55566280000,CERVIDIL 10 MG VAGINAL INSERTCONTROLLED RELEASE," $2,298.68 ",,,
NDC55566280001,CERVIDIL 10 MG VAGINAL INSERTCONTROLLED RELEASE," $2,284.79 ",,,
NDC55566503001,DESMOPRESSIN 4 MCG-ML INJECTION SOLUTION, $202.79 ,,,
NDC57237004001,PENICILLIN V POTASSIUM 250 MG TABLET, $7.00 ,,,
NDC57237007710,ONDANSETRON 4 MG DISINTEGRATING TABLET, $2.38 ,,,
NDC57237017130,ROSUVASTATIN 40 MG TABLET, $7.00 ,,,
NDC57664037708,TRAMADOL 50 MG TABLET, $7.00 ,,,
NDC57894003001,REMICADE 100 MG INTRAVENOUS SOLUTION, $319.49 ,,,
NDC58160082001,ENGERIX-B PEDIATRIC (PF) 10 MCG-0.5 ML INTRAMUSCULAR SUSPENSION, $32.82 ,,,
NDC58160082043,ENGERIX-B PEDIATRIC (PF) 10 MCG-0.5 ML INTRAMUSCULAR SYRINGE, $20.24 ,,,
NDC58160082052,ENGERIX-B PEDIATRIC (PF) 10 MCG-0.5 ML INTRAMUSCULAR SYRINGE, $20.25 ,,,
NDC58160082101,ENGERIX-B (PF) 20 MCG-ML INTRAMUSCULAR SUSPENSION, $84.75 ,,,
NDC58160084211,BOOSTRIX TDAP 2.5 LF UNIT-8 MCG-5 LF-0.5 ML INTRAMUSCULAR SUSPENSION, $56.47 ,,,
NDC58160096412,RABAVERT (PF) 2.5 UNIT INTRAMUSCULAR SUSPENSION, $490.95 ,,,
NDC58232072103,DESITIN 40 % TOPICAL PASTE, $19.20 ,,,
NDC58468012301,HECTOROL 4 MCG-2 ML INTRAVENOUS SOLUTION, $52.27 ,,,
NDC58468013001,RENVELA 800 MG TABLET, $85.35 ,,,
NDC58468013101,RENVELA 2.4 GRAM ORAL POWDER PACKET, $256.05 ,,,
NDC58914008052,BENTYL 10 MG-ML INTRAMUSCULAR SOLUTION," $1,060.84 ",,,
NDC58914017110,CARAFATE 1 GRAM TABLET, $44.44 ,,,
NDC58914050156,CANASA 1000 MG RECTAL SUPPOSITORY, $515.48 ,,,
NDC58980078021,VENELEX 87 MG-788 MG-GRAM TOPICAL OINTMENT, $185.65 ,,,
NDC59011041020,OXYCONTIN 10 MG TABLETCRUSH RESISTANTEXTENDED RELEASE, $96.61 ,,,
NDC59011041510,OXYCONTIN 15 MG TABLETCRUSH RESISTANTEXTENDED RELEASE, $141.78 ,,,
NDC59011041520,OXYCONTIN 15 MG TABLETCRUSH RESISTANTEXTENDED RELEASE, $142.65 ,,,
NDC59011042020,OXYCONTIN 20 MG TABLETCRUSH RESISTANTEXTENDED RELEASE, $178.26 ,,,
NDC59011044020,OXYCONTIN 40 MG TABLETCRUSH RESISTANTEXTENDED RELEASE, $302.03 ,,,
NDC59148000735,ABILIFY 5 MG TABLET, $322.45 ,,,
NDC59148002050,SAMSCA 15 MG TABLET," $1,073.44 ",,,
NDC59310057922,PROAIR HFA 90 MCG-ACTUATION AEROSOL INHALER, $367.02 ,,,
NDC59338077501,FERAHEME 510 MG-17 ML (30 MG-ML) INTRAVENOUS SOLUTION, $21.67 ,,,
NDC59676031000,PROCRIT 10000 UNIT-ML INJECTION SOLUTION, $197.56 ,,,
NDC59676031001,PROCRIT 10000 UNIT-ML INJECTION SOLUTION, $198.63 ,,,
NDC59676032000,PROCRIT 20000 UNIT-ML INJECTION SOLUTION, $195.56 ,,,
NDC59676034001,PROCRIT 40000 UNIT-ML INJECTION SOLUTION, $196.99 ,,,
NDC59676056201,PREZISTA 600 MG TABLET, $398.35 ,,,
NDC59676056630,PREZISTA 800 MG TABLET, $706.69 ,,,
NDC59676057530,PREZCOBIX 800 MG-150 MG TABLET, $910.55 ,,,
NDC59746017506,PREDNISONE 20 MG TABLET, $0.35 ,,,
NDC59746021601,SPIRONOLACTONE 25 MG TABLET, $6.94 ,,,
NDC59746030612,OLANZAPINE 5 MG DISINTEGRATING TABLET, $18.43 ,,,
NDC59746030632,OLANZAPINE 5 MG DISINTEGRATING TABLET, $21.31 ,,,
NDC59746041404,RIZATRIPTAN 5 MG TABLET, $18.10 ,,,
NDC59746041419,RIZATRIPTAN 5 MG TABLET, $18.10 ,,,
NDC59762003702,DOFETILIDE 125 MCG CAPSULE, $55.37 ,,,
NDC59762003802,DOFETILIDE 250 MCG CAPSULE, $59.18 ,,,
NDC59762003902,DOFETILIDE 500 MCG CAPSULE, $50.93 ,,,
NDC59762010401,SULFASALAZINE 500 MG TABLETDELAYED RELEASE, $7.00 ,,,
NDC59762024503,DONEPEZIL 5 MG TABLET, $7.00 ,,,
NDC59762040101,SUCRALFATE 1 GRAM TABLET, $7.00 ,,,
NDC59762045001,COLESTIPOL 1 GRAM TABLET, $15.95 ,,,
NDC59762054001,GLIPIZIDE ER 2.5 MG TABLET EXTENDED RELEASE 24 HR, $7.00 ,,,
NDC59762080002,TOLTERODINE 2 MG TABLET, $27.15 ,,,
NDC59762106101,DIPHENOXYLATE-ATROPINE 2.5 MG-0.025 MG TABLET, $13.67 ,,,
NDC59762171002,EPLERENONE 25 MG TABLET, $52.50 ,,,
NDC59762285801,EXEMESTANE 25 MG TABLET, $147.80 ,,,
NDC59762330403,NITROGLYCERIN 0.4 MG SUBLINGUAL TABLET, $128.20 ,,,
NDC59762371709,TRIAZOLAM 0.125 MG TABLET, $76.90 ,,,
NDC59762374001,MEDROXYPROGESTERONE 2.5 MG TABLET, $7.00 ,,,
NDC60258000601,PHOS-NAK 280 MG-160 MG-250 MG ORAL POWDER PACKET, $6.68 ,,,
NDC60258000615,PHOS-NAK 280 MG-160 MG-250 MG ORAL POWDER PACKET, $6.66 ,,,
NDC60267070550,SODIUM THIOSULFATE 12.5 GRAM-50 ML (250 MG-ML) INTRAVENOUS SOLUTION, $22.35 ,,,
NDC60432021208,PREDNISOLONE SODIUM PHOSPHATE 15 MG-5 ML (3 MG-ML) ORAL SOLUTION, $4.64 ,,,
NDC60505003901,ETODOLAC 200 MG CAPSULE, $16.30 ,,,
NDC60505058204,MOXIFLOXACIN 0.5 % EYE DROPS, $208.80 ,,,
NDC60505068104,CEFEPIME 2 GRAM SOLUTION FOR INJECTION, $62.54 ,,,
NDC60505070610,NICOTINE 7 MG-24 HR DAILY TRANSDERMAL PATCH, $25.95 ,,,
NDC60505070620,NICOTINE 14 MG-24 HR DAILY TRANSDERMAL PATCH, $25.95 ,,,
NDC60505070630,NICOTINE 21 MG-24 HR DAILY TRANSDERMAL PATCH, $25.95 ,,,
NDC60505074901,CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION, $50.78 ,,,
NDC60505075203,CEFTRIAXONE 1 GRAM SOLUTION FOR INJECTION, $14.69 ,,,
NDC60505075303,CEFTRIAXONE 2 GRAM SOLUTION FOR INJECTION, $12.59 ,,,
NDC60505075304,CEFTRIAXONE 2 GRAM SOLUTION FOR INJECTION, $12.59 ,,,
NDC60505076900,CEFAZOLIN 10 GRAM SOLUTION FOR INJECTION, $15.26 ,,,
NDC60505082306,CALCITONIN (SALMON) 200 UNIT-ACTUATION NASAL SPRAY, $467.00 ,,,
NDC60505082901,FLUTICASONE 50 MCG-ACTUATION NASAL SPRAYSUSPENSION, $137.25 ,,,
NDC60505084703,FLUTICASONE 50 MCG-ACTUATION NASAL SPRAYSUSPENSION, $70.97 ,,,
NDC60505251903,CITALOPRAM 20 MG TABLET, $14.19 ,,,
NDC60505257507,BALSALAZIDE 750 MG CAPSULE, $10.80 ,,,
NDC60505258009,ATORVASTATIN 40 MG TABLET, $7.00 ,,,
NDC60505265400,TRAZODONE 100 MG TABLET, $7.00 ,,,
NDC60505285001,ALFUZOSIN ER 10 MG TABLETEXTENDED RELEASE 24 HR, $7.00 ,,,
NDC60505340409,SILDENAFIL (ANTIHYPERTENSIVE) 20 MG TABLET, $11.05 ,,,
NDC60505367303,PAROXETINE ER 12.5 MG TABLETEXTENDED RELEASE 24 HR, $54.75 ,,,
NDC60505387703,DUTASTERIDE 0.5 MG CAPSULE, $7.00 ,,,
NDC60505603001,CEFEPIME 1 GRAM SOLUTION FOR INJECTION, $51.10 ,,,
NDC60505603004,CEFEPIME 1 GRAM SOLUTION FOR INJECTION, $51.10 ,,,
NDC60505603101,CEFEPIME 2 GRAM SOLUTION FOR INJECTION, $37.76 ,,,
NDC60505603104,CEFEPIME 2 GRAM SOLUTION FOR INJECTION, $37.76 ,,,
NDC60505610201,CEFTRIAXONE 2 GRAM SOLUTION FOR INJECTION, $5.88 ,,,
NDC60505614400,CEFEPIME 1 GRAM SOLUTION FOR INJECTION, $50.28 ,,,
NDC60505614500,CEFEPIME 2 GRAM SOLUTION FOR INJECTION, $37.76 ,,,
NDC60505614600,CEFEPIME 1 GRAM SOLUTION FOR INJECTION, $59.75 ,,,
NDC60505614700,CEFEPIME 2 GRAM SOLUTION FOR INJECTION, $59.28 ,,,
NDC60505700600,FENTANYL 25 MCG-HR TRANSDERMAL PATCH, $518.03 ,,,
NDC60505700700,FENTANYL 50 MCG-HR TRANSDERMAL PATCH, $422.92 ,,,
NDC60505700800,FENTANYL 75 MCG-HR TRANSDERMAL PATCH, $423.87 ,,,
NDC60505700900,FENTANYL 100 MCG-HR TRANSDERMAL PATCH, $514.36 ,,,
NDC60574411401,SYNAGIS 50 MG-0.5 ML INTRAMUSCULAR SOLUTION," $3,794.00 ",,,
NDC60687010011,URSODIOL 300 MG CAPSULE, $90.04 ,,,
NDC60687010511,MEDROXYPROGESTERONE 10 MG TABLET, $21.13 ,,,
NDC60687011211,ANASTROZOLE 1 MG TABLET, $9.30 ,,,
NDC60687011411,LABETALOL 100 MG TABLET, $7.00 ,,,
NDC60687011511,BENZONATATE 100 MG CAPSULE, $7.00 ,,,
NDC60687012011,DESMOPRESSIN 0.2 MG TABLET, $37.35 ,,,
NDC60687012211,PREDNISONE 5 MG TABLET, $1.56 ,,,
NDC60687012511,LABETALOL 200 MG TABLET, $6.71 ,,,
NDC60687012811,VALSARTAN 80 MG TABLET, $14.14 ,,,
NDC60687012901,DOCUSATE SODIUM 100 MG CAPSULE, $7.00 ,,,
NDC60687012911,DOCUSATE SODIUM 100 MG CAPSULE, $7.00 ,,,
NDC60687013411,PREDNISONE 10 MG TABLET, $0.75 ,,,
NDC60687013911,VALSARTAN 160 MG TABLET, $16.34 ,,,
NDC60687014311,METFORMIN 850 MG TABLET, $7.00 ,,,
NDC60687014511,PREDNISONE 20 MG TABLET, $0.35 ,,,
NDC60687015511,METFORMIN 500 MG TABLET, $6.99 ,,,
NDC60687016111,HALOPERIDOL 5 MG TABLET, $9.80 ,,,
NDC60687016311,CEPHALEXIN 500 MG CAPSULE, $7.00 ,,,
NDC60687016811,ARIPIPRAZOLE 5 MG TABLET, $137.37 ,,,
NDC60687017311,MEMANTINE 5 MG TABLET, $10.10 ,,,
NDC60687017695,ORGAN-I NR 200 MG TABLET, $14.95 ,,,
NDC60687017811,PRAVASTATIN 20 MG TABLET, $10.37 ,,,
NDC60687017911,ARIPIPRAZOLE 10 MG TABLET, $173.02 ,,,
NDC60687018533,PROPAFENONE ER 225 MG CAPSULEEXTENDED RELEASE 12 HR, $122.30 ,,,
NDC60687019011,PRAVASTATIN 40 MG TABLET, $12.55 ,,,
NDC60687019511,DILTIAZEM CD 120 MG CAPSULEEXTENDED RELEASE 24 HR, $7.00 ,,,
NDC60687020611,DILTIAZEM CD 180 MG CAPSULEEXTENDED RELEASE 24 HR, $7.00 ,,,
NDC60687021511,PROPRANOLOL ER 60 MG CAPSULE24 HREXTENDED RELEASE, $30.15 ,,,
NDC60687021711,DILTIAZEM CD 240 MG CAPSULEEXTENDED RELEASE 24 HR, $9.30 ,,,
NDC60687022411,GEMFIBROZIL 600 MG TABLET, $7.00 ,,,
NDC60687022611,PROPRANOLOL ER 80 MG CAPSULE24 HREXTENDED RELEASE, $34.70 ,,,
NDC60687022811,DILTIAZEM CD 300 MG CAPSULEEXTENDED RELEASE 24 HR, $19.60 ,,,
NDC60687022911,LOPERAMIDE 2 MG CAPSULE, $10.15 ,,,
NDC60687023011,ZONISAMIDE 100 MG CAPSULE, $15.33 ,,,
NDC60687024195,CANDESARTAN 16 MG TABLET, $60.90 ,,,
NDC60687024211,SERTRALINE 50 MG TABLET, $6.94 ,,,
NDC60687024511,ROSUVASTATIN 10 MG TABLET, $20.42 ,,,
NDC60687024611,ESOMEPRAZOLE MAGNESIUM 40 MG CAPSULEDELAYED RELEASE, $85.95 ,,,
NDC60687025311,SERTRALINE 100 MG TABLET, $6.99 ,,,
NDC60687025611,ROSUVASTATIN 20 MG TABLET, $21.20 ,,,
NDC60687026311,AMLODIPINE 5 MG TABLET, $6.97 ,,,
NDC60687026611,RALOXIFENE 60 MG TABLET, $86.25 ,,,
NDC60687026933,NIFEDIPINE ER 30 MG TABLETEXTENDED RELEASE, $20.03 ,,,
NDC60687027411,AMLODIPINE 10 MG TABLET, $7.00 ,,,
NDC60687028211,AZITHROMYCIN 250 MG TABLET, $26.27 ,,,
NDC60687028411,EZETIMIBE 10 MG TABLET, $145.88 ,,,
NDC60687029995,ITRACONAZOLE 100 MG CAPSULE, $50.40 ,,,
NDC60687030533,ASPIRIN 25 MG-DIPYRIDAMOLE 200 MG CAPSULEEXT.RELEASE 12 HR MULTIPHASE, $158.80 ,,,
NDC60687030611,PROPRANOLOL 20 MG TABLET, $13.96 ,,,
NDC60687031911,TOLTERODINE ER 2 MG CAPSULEEXTENDED RELEASE 24 HR, $151.85 ,,,
NDC60687032511,LISINOPRIL 10 MG TABLET, $7.00 ,,,
NDC60687032711,QUETIAPINE 25 MG TABLET, $8.38 ,,,
NDC60687032833,SEVELAMER CARBONATE 800 MG TABLET, $124.93 ,,,
NDC60687033211,RAMIPRIL 2.5 MG CAPSULE, $7.00 ,,,
NDC60687033311,LISINOPRIL 20 MG TABLET, $7.00 ,,,
NDC60687034011,BUPROPION HCL 75 MG TABLET, $16.65 ,,,
NDC60687034311,RAMIPRIL 5 MG CAPSULE, $7.00 ,,,
NDC60687034611,BENZONATATE 100 MG CAPSULE, $7.00 ,,,
NDC60687034911,QUETIAPINE 100 MG TABLET, $12.84 ,,,
NDC60687035111,BUPROPION HCL 100 MG TABLET, $22.50 ,,,
NDC60687036395,FLUCYTOSINE 500 MG CAPSULE," $2,368.75 ",,,
NDC60687036811,BENZTROPINE 1 MG TABLET, $7.00 ,,,
NDC60758006005,LEVOBUNOLOL 0.5 % EYE DROPS, $29.05 ,,,
NDC60758011905,PREDNISOLONE ACETATE 1 % EYE DROPSSUSPENSION, $274.45 ,,,
NDC60758061525,GATIFLOXACIN 0.5 % EYE DROPS, $589.65 ,,,
NDC60758080105,TIMOLOL MALEATE 0.5 % EYE DROPS, $31.20 ,,,
NDC60758080205,TIMOLOL MALEATE 0.25 % EYE DROPS, $17.05 ,,,
NDC60758088005,FLUOROMETHOLONE 0.1 % EYE DROPSSUSPENSION, $443.20 ,,,
NDC60793013601,SKELAXIN 800 MG TABLET, $153.75 ,,,
NDC60793020505,THROMBIN-JMI 5000 UNIT NASAL SPRAY SYRINGE," $1,060.60 ",,,
NDC60793021505,THROMBIN-JMI 5000 UNIT TOPICAL SOLUTION, $990.25 ,,,
NDC60793070102,BICILLIN L-A 1200000 UNIT-2 ML INTRAMUSCULAR SYRINGE, $170.19 ,,,
NDC60793070110,BICILLIN L-A 1200000 UNIT-2 ML INTRAMUSCULAR SYRINGE, $153.53 ,,,
NDC60793070505,THROMBIN-JMI 5000 UNIT TOPICAL SPRAY SYRINGE," $1,010.10 ",,,
NDC61314001601,PROPARACAINE 0.5 % EYE DROPS, $218.95 ,,,
NDC61314001910,DORZOLAMIDE 2 % EYE DROPS, $212.05 ,,,
NDC61314004475,TRIFLURIDINE 1 % EYE DROPS, $806.15 ,,,
NDC61314014305,BRIMONIDINE 0.2 % EYE DROPS, $90.41 ,,,
NDC61314014405,BRIMONIDINE 0.15 % EYE DROPS, $798.45 ,,,
NDC61314020315,PILOCARPINE 1 % EYE DROPS, $491.85 ,,,
NDC61314022605,TIMOLOL MALEATE 0.25 % EYE DROPS, $16.25 ,,,
NDC61314022705,TIMOLOL MALEATE 0.5 % EYE DROPS, $30.30 ,,,
NDC61314030401,ZARXIO 300 MCG-0.5 ML INJECTION SYRINGE, $7.10 ,,,
NDC61314030410,ZARXIO 300 MCG-0.5 ML INJECTION SYRINGE, $7.10 ,,,
NDC61314031201,ZARXIO 480 MCG-0.8 ML INJECTION SYRINGE, $7.06 ,,,
NDC61314031801,ZARXIO 300 MCG-0.5 ML INJECTION SYRINGE, $7.10 ,,,
NDC61314031805,ZARXIO 300 MCG-0.5 ML INJECTION SYRINGE, $7.10 ,,,
NDC61314032601,ZARXIO 480 MCG-0.8 ML INJECTION SYRINGE, $7.06 ,,,
NDC61314032605,ZARXIO 480 MCG-0.8 ML INJECTION SYRINGE, $7.06 ,,,
NDC61314054701,LATANOPROST 0.005 % EYE DROPS, $66.75 ,,,
NDC61314063006,NEOMYCIN-POLYMYXIN-DEXAMETH 3.5 MG-ML-10000 UNIT-ML-0.1% EYE DROPS, $112.30 ,,,
NDC61314063136,NEOMYCIN 3.5 MG-G-POLYMYXIN B 10000 UNIT-G-DEXAMETH 0.1 % EYE OINT, $112.30 ,,,
NDC61314063705,PREDNISOLONE ACETATE 1 % EYE DROPSSUSPENSION, $276.05 ,,,
NDC61314064175,NEOMYCIN 3.5 MG-POLYMYXIN 10000 UNIT-HYDROCORT 10 MG-ML EYE DROPSUSP, $640.23 ,,,
NDC61314064305,TOBRAMYCIN 0.3 % EYE DROPS, $96.70 ,,,
NDC61314064511,NEOMYCIN-POLYMYXIN-HYDROCORT 3.5 MG-10000 UNIT-ML-1 % EAR DROPSSUSP, $143.10 ,,,
NDC61314065605,CIPROFLOXACIN 0.3 % EYE DROPS, $157.40 ,,,
NDC61314065625,CIPROFLOXACIN 0.3 % EYE DROPS, $83.30 ,,,
