Description,Charge
Spacer,"$8,802.39"
Spacer,"$6,079.50"
Spacer,"$6,692.00"
Spacer,"$9,333.00"
Spacer,"$5,756.63"
Spacer,"$4,608.63"
Spacer,"$13,819.80"
Spacer,"$4,651.50"
Spacer,"$20,250.00"
Spacer,"$7,772.07"
Spacer,"$19,620.00"
Spacer,"$23,500.00"
Spacer,"$9,280.98"
Spacer,"$16,500.00"
Spacer,"$22,349.25"
Spacer,"$5,897.50"
Spacer,"$3,209.50"
Spacer,"$7,894.71"
Spacer,"$8,250.00"
Spacer,"$7,677.00"
Spacer,"$4,567.50"
Spacer,"$18,250.00"
Spacer,"$4,683.00"
Spacer,"$13,034.40"
Spacer,"$4,228.53"
Spacer,"$16,578.00"
Spacer,"$7,386.75"
Spacer,"$5,780.25"
Spacer,"$11,550.00"
Spacer,"$14,068.47"
Spacer,"$9,662.58"
Spacer,"$3,625.65"
Spacer,"$7,454.07"
Spacer,"$4,938.85"
Spacer,"$4,423.83"
Spacer,"$2,572.00"
Spacer,"$13,089.00"
Spacer,"$15,150.00"
Spacer,"$11,070.00"
Spacer,"$16,392.50"
Spacer,"$2,400.00"
Spacer,"$4,275.60"
Spacer,"$5,337.50"
Spacer,"$4,541.25"
Spacer,"$14,344.83"
Spacer,"$14,220.00"
Spacer,"$2,785.40"
Spacer,"$4,301.50"
Spacer,"$4,192.83"
Spacer,"$5,372.50"
Spacer,$639.90
Spacer,"$1,320.00"
Spacer,"$15,487.50"
Spacer Spinal,"$14,250.00"
Special Treatment,"$2,588.00"
Special Treatment Port Plan,$912.00
Spectral Doppler,$793.00
Spectrophotometry Synovial Fld,$40.00
Spectrophotometry Synovial Fld,$38.00
Spherical Implant,"$8,553.00"
Spinal Cord Stimulator,"$35,662.50"
Spinal Cord Stimulator,"$41,737.50"
Spinal Cord Stimulator,"$54,586.00"
Spinal Fixation,"$8,226.00"
Spinal Fixation,"$4,637.50"
Spinal Implant,"$17,000.00"
Spinal Implant,"$15,750.00"
Spinal Implant,"$20,000.00"
Spinal Implant,"$20,587.50"
Spinal Implant,"$7,596.00"
Spinal Implant,"$8,568.00"
Spinal Implant,"$2,200.00"
Spinal Implant,"$15,039.38"
Spinal Implant,"$19,000.00"
Spinal Spacer,"$16,500.75"
Spinal Spacer,"$13,813.20"
Spinal Spacer,"$20,750.00"
Spinal Spacer,"$19,750.00"
Spinal Spacer,"$18,250.00"
Spinal Spacer,"$21,915.00"
Spinal Spacer,"$36,463.50"
Spinal Spacer,"$23,250.00"
Spinal Spacer,"$16,714.80"
Spinal Spacer,"$20,000.00"
Spinal Spacer,"$11,756.70"
Spinal Spacer,"$15,210.00"
Spinal Spacer,"$18,140.00"
Spinal Spacer,"$23,420.00"
Spinal Spacer,"$14,250.00"
Spinal Spacer,"$6,037.50"
Spirometry,$383.00
Spirometry Pre And Post,$486.00
Spironolactone 100mg T(Aldactone),$10.10
Spironolactone 25mg T(Aldactone),$10.00
Spironolactone 50mg T(Aldactone),$10.00
Splitter,"$4,987.50"
Splitting Of Blood,$130.00
Sputum Induction Initial,$180.00
Sr Ca Urine,$13.00
Sr Citrate,$61.00
Sr Mg Urine,$15.00
Sr Oxalate,$28.00
Sr Ph Ur,$8.00
Sr Po4 Urine,$11.00
Sr Potassium Urine,$9.00
Sr Sodium Urine,$11.00
Sr Sulfate Urine,$10.00
Ssa Antibody Igg,$61.00
Statak Device,$837.81
Stavudine 20mg C(Zerit),$44.85
Stem,"$2,026.00"
Stem,"$11,481.00"
Stem,"$5,194.00"
Stem,"$12,561.30"
Stem,"$10,899.60"
Stem,"$8,880.00"
Stem,"$20,598.75"
Stem,"$11,841.00"
Stem,"$12,090.00"
Stem,"$21,082.50"
Stem,"$4,837.70"
Stem,"$9,835.50"
Stem,"$14,466.60"
Stem,"$8,250.00"
Stem,"$15,571.13"
Stem,"$6,387.50"
Stem,"$4,649.61"
Stem,"$16,037.50"
Stem,"$18,814.50"
Stem,"$15,708.18"
Stem,"$13,825.80"
Stem,"$8,559.12"
Stem,"$10,975.92"
Stem,"$13,275.00"
Stem,"$18,267.00"
Stem,"$7,577.40"
Stem,"$13,801.65"
Stem,"$3,237.50"
Stem,"$5,887.00"
Stem,"$11,280.00"
Stem,"$13,677.75"
Stem,"$6,037.50"
Stem,"$13,920.75"
Stem,"$15,017.38"
Stem,"$8,034.75"
Stem,"$18,921.38"
Stem,"$4,116.00"
Stem,"$3,843.00"
Stem,"$18,590.00"
Stem,"$8,490.00"
Stem,"$5,441.63"
Stem,"$9,304.83"
Stem,"$10,107.00"
Stem,"$10,472.85"
Stem,"$7,941.00"
Stem,"$18,705.00"
Stem,"$8,202.00"
Stem,"$13,170.15"
Stem,"$12,953.88"
Stem,"$17,625.00"
Stem,"$4,667.92"
Stem,"$4,976.30"
Stem,"$19,412.50"
Stem,"$16,253.20"
Stem,"$14,309.82"
Stem,"$11,115.00"
Stem,"$10,560.60"
Stem,"$12,260.64"
Stem,"$3,903.38"
Stem,"$37,800.00"
Stem,"$9,870.75"
Stem,"$13,282.83"
Stem,"$27,688.73"
Stem,"$4,484.52"
Stem,"$13,738.50"
Stem,"$14,278.35"
Stem,"$15,189.25"
Stem,"$9,518.40"
Stem,"$10,785.45"
Stem,"$11,250.00"
Stem,"$15,851.25"
Stem,"$14,163.75"
Stem,"$16,728.43"
Stem,"$11,288.70"
Stem,"$14,014.41"
Stem,"$3,421.25"
Stem,"$5,478.80"
Stem,"$10,559.40"
Stem,"$13,188.21"
Stem,"$19,967.50"
Stem,"$24,185.00"
Stem,"$21,331.13"
Stem,"$12,136.80"
Stem,"$4,208.23"
Stem,"$15,377.63"
Stem,"$4,929.75"
Stem,"$17,007.00"
Stem,"$10,252.80"
Stem,"$6,128.50"
Stem,"$18,575.00"
Stem,"$9,076.95"
Stem,"$11,532.00"
Stem,"$9,083.55"
Stem,"$17,418.75"
Stem,"$17,500.00"
Stem,"$5,394.03"
Stem,"$14,775.00"
Stem,"$10,625.40"
Stem,"$10,927.50"
Stem,"$11,848.50"
Stem,"$23,500.00"
Stem,"$18,250.00"
Stem,"$8,100.00"
Stem,"$5,825.68"
Stem,"$18,478.50"
Stem,"$3,469.73"
Stem,"$8,964.90"
Stem,"$4,287.50"
Stem,"$4,245.50"
Stem,"$5,909.93"
Stem,"$14,144.79"
Stem,"$13,866.75"
Stem,"$15,074.83"
Stem,"$18,113.93"
Stem,"$4,819.50"
Stem,"$17,907.75"
Stem,"$11,769.33"
Stem,"$17,887.80"
Stem,"$12,447.90"
Stem,"$9,414.54"
Stem,"$7,410.00"
Stem,"$15,914.88"
Stem,"$4,654.83"
Stem,"$7,841.25"
Stem,"$10,339.92"
Stem,"$16,750.00"
Stem,"$10,710.00"
Stem,"$14,406.75"
Stem,"$4,296.78"
Stem,"$19,920.63"
Stem,"$9,483.60"
Stem,"$10,285.50"
Stem,"$16,307.08"
Stem,"$8,796.00"
Stem,"$8,265.00"
Stem,"$21,927.50"
Stem,"$9,555.00"
Stem,"$8,907.00"
Stem,"$1,256.00"
Stem,"$22,745.00"
Stem,"$20,062.25"
Stem,"$10,082.25"
Stem,"$4,245.30"
Stem And Screw,"$6,387.50"
Stem Centralizer,$621.00
Stem Collar,"$8,069.40"
Stem Collar 2,"$9,518.40"
Stem Extension,"$4,837.00"
Stem Extension,"$4,649.61"
Stem Extension,"$5,825.68"
Stem Extension,"$4,929.75"
Stem Extension,"$13,825.80"
Stem Extension,"$4,245.50"
Stem Extension,"$14,254.20"
Stem Extension,"$15,985.50"
Stem Splined Knee,"$5,194.00"
Stent,$665.42
Stent,"$4,112.50"
Stent,"$3,937.50"
Stent,"$7,500.00"
Stent,"$4,550.00"
Stent,"$3,941.00"
Stent,$562.50
Stent,"$9,795.00"
Stent,"$9,975.00"
Stent,$369.55
Stent,"$9,450.00"
Stent,"$8,550.00"
Stent,"$4,480.00"
Stent,"$4,130.00"
Stent,"$10,575.00"
Stent,$721.71
Stent,"$3,587.50"
Stent,"$9,630.21"
Stent,$733.50
Stent,$356.25
Stent,"$5,337.50"
Stent,"$9,480.00"
Stent,"$5,635.00"
Stent,$791.15
Stent,"$5,838.00"
Stent,"$6,300.00"
Stent,$574.88
Stent,"$9,126.00"
Stent,$976.50
Stent,"$8,850.00"
Stent,"$10,049.70"
Stent,"$4,200.00"
Stent,"$6,562.50"
Stent,"$10,500.00"
Stent,$817.65
Stent,$375.25
Stent,"$10,251.90"
Stent,$325.47
Stent,"$7,352.55"
Stent,$780.75
Stent,"$3,325.00"
Stent,$648.00
Stent,"$11,673.00"
Stent,"$12,585.00"
Stent,"$5,547.96"
Stent,$919.89
Stent,$715.50
Stent,$434.15
Stent,"$10,752.99"
Stent,$389.50
Stent,"$9,915.30"
Stent,"$10,129.50"
Stent,"$10,460.58"
Stent,$409.93
Stent,"$7,769.49"
Stent,"$9,918.24"
Stent ,"$1,296.80"
Stent ,$900.00
Stent Covered Ic 7 X 38,"$9,975.00"
Stent Covered Ic 7 X 59,"$10,575.00"
Stent Covered Ls 6X37,"$8,850.00"
Stent Covered Ls 7X37,"$8,850.00"
Stent Covered Pp 2.25X12Mm,"$4,637.50"
Stent Covered Pp 2.25X16Mm,"$4,637.50"
Stent Covered Pp 2.25X8Mm,"$4,637.50"
Stent Covered Pp 2.50X12Mm,"$4,637.50"
Stent Covered Pp 2.50X16Mm,"$4,637.50"
Stent Covered Pp 2.50X28Mm,"$4,637.50"
Stent Covered Pp 2.75X12Mm,"$4,637.50"
Stent Covered Pp 2.75X16Mm,"$4,637.50"
Stent Covered Pp 2.75X20Mm,"$4,637.50"
Stent Covered Pp 2.75X32Mm,"$4,637.50"
Stent Covered Pp 2.75X38Mm,"$4,637.50"
Stent Covered Pp 3.00X12Mm,"$4,637.50"
Stent Covered Pp 3.00X16Mm,"$4,637.50"
Stent Covered Pp 3.00X20Mm,"$4,637.50"
Stent Covered Pp 3.00X24Mm,"$4,637.50"
Stent Covered Pp 3.00X28Mm,"$4,637.50"
Stent Covered Pp 3.00X8Mm,"$4,637.50"
Stent Covered Pp 3.50X12Mm,"$4,637.50"
Stent Covered Pp 3.50X16Mm,"$4,637.50"
Stent Covered Pp 3.50X20Mm,"$4,637.50"
Stent Covered Pp 3.50X24Mm,"$4,637.50"
Stent Covered Pp 3.50X28Mm,"$4,637.50"
Stent Covered Pp 3.50X32Mm,"$4,637.50"
Stent Covered Pp 3.50X38Mm,"$4,637.50"
Stent Covered Pp 3.50X8Mm,"$4,637.50"
Stent Covered Pp 4.00X12Mm,"$4,637.50"
Stent Covered Pp 4.00X16Mm,"$4,637.50"
Stent Covered Pp 4.00X28Mm,"$4,637.50"
Stent Covered Vb 7X10,"$12,876.00"
Stent Covered Vbsh 6 X 10 X 120,"$12,876.00"
Stent Covered Vbsh 6 X 5 X 120,"$11,673.00"
Stent Covered Vbsh 7 X 5 X 120,"$11,964.00"
Stent Covered Vbsh 8 X 5 X 120,"$11,964.00"
Stent Covered Xa 2.25 X 12 Mm,"$4,987.50"
Stent Covered Xa 2.25 X 15 Mm,"$4,987.50"
Stent Covered Xa 2.25 X 18 Mm,"$4,987.50"
Stent Covered Xa 2.25 X 23 Mm,"$4,987.50"
Stent Covered Xa 2.25 X 28 Mm,"$4,987.50"
Stent Covered Xa 2.25 X 8 Mm,"$4,987.50"
Stent Covered Xa 2.5 X 12 Mm,"$4,987.50"
Stent Covered Xa 2.5 X 15 Mm,"$4,987.50"
Stent Covered Xa 2.5 X 18 Mm,"$4,987.50"
Stent Covered Xa 2.5 X 23 Mm,"$4,987.50"
Stent Covered Xa 2.5 X 28 Mm,"$4,987.50"
Stent Covered Xa 2.5 X 33 Mm,"$4,987.50"
Stent Covered Xa 2.5 X 38 Mm,"$4,987.50"
Stent Covered Xa 2.5 X 8 Mm,"$4,987.50"
Stent Covered Xa 2.75 X 12 Mm,"$4,987.50"
Stent Covered Xa 2.75 X 15 Mm,"$4,987.50"
Stent Covered Xa 2.75 X 18 Mm,"$4,987.50"
Stent Covered Xa 2.75 X 23 Mm,"$4,987.50"
Stent Covered Xa 2.75 X 28 Mm,"$4,987.50"
Stent Covered Xa 2.75 X 33 Mm,"$4,987.50"
Stent Covered Xa 2.75 X 38 Mm,"$4,987.50"
Stent Covered Xa 2.75 X 8 Mm,"$4,987.50"
Stent Covered Xa 3.0 X 12 Mm,"$4,987.50"
Stent Covered Xa 3.0 X 15 Mm,"$4,987.50"
Stent Covered Xa 3.0 X 18 Mm,"$4,987.50"
Stent Covered Xa 3.0 X 23 Mm,"$4,987.50"
Stent Covered Xa 3.0 X 28 Mm,"$4,987.50"
Stent Covered Xa 3.0 X 33 Mm,"$4,987.50"
Stent Covered Xa 3.0 X 38 Mm,"$4,987.50"
Stent Covered Xa 3.0 X 8 Mm,"$4,987.50"
Stent Covered Xa 3.25 X 12 Mm,"$4,987.50"
Stent Covered Xa 3.25 X 15 Mm,"$4,987.50"
Stent Covered Xa 3.25 X 18 Mm,"$4,987.50"
Stent Covered Xa 3.25 X 23 Mm,"$4,987.50"
Stent Covered Xa 3.25 X 28 Mm,"$4,987.50"
Stent Covered Xa 3.25 X 33 Mm,"$4,987.50"
Stent Covered Xa 3.25 X 38 Mm,"$4,987.50"
Stent Covered Xa 3.25 X 8 Mm,"$4,987.50"
Stent Covered Xa 3.5 X 12 Mm,"$4,987.50"
Stent Covered Xa 3.5 X 15 Mm,"$4,987.50"
Stent Covered Xa 3.5 X 18 Mm,"$4,987.50"
Stent Covered Xa 3.5 X 23 Mm,"$4,987.50"
Stent Covered Xa 3.5 X 28 Mm,"$4,987.50"
Stent Covered Xa 3.5 X 33 Mm,"$4,987.50"
Stent Covered Xa 3.5 X 38 Mm,"$4,987.50"
Stent Covered Xa 3.5 X 8 Mm,"$4,987.50"
Stent Covered Xa 4.0 X 12 Mm,"$4,987.50"
Stent Covered Xa 4.0 X 15 Mm,"$4,987.50"
Stent Covered Xa 4.0 X 18 Mm,"$4,987.50"
Stent Covered Xa 4.0 X 23 Mm,"$4,987.50"
Stent Covered Xa 4.0 X 28 Mm,"$4,987.50"
Stent Covered Xa 4.0 X 33 Mm,"$4,987.50"
Stent Covered Xa 4.0 X 38 Mm,"$4,987.50"
Stent Covered Xa 4.0 X 8 Mm,"$4,987.50"
Stent Duodenal Wall,"$10,251.90"
Stent End,"$3,762.50"
Stent Graft,"$14,397.00"
Stent Graft,"$20,712.50"
Stent Graft,"$15,500.00"
Stent Graft,"$31,050.00"
Stent Graft,"$11,550.00"
Stent Graft,"$50,990.00"
Stent Graft,"$45,101.25"
Stent Graft,"$14,818.50"
Stent Graft,"$26,375.00"
Stent Graft,"$13,050.00"
Stent Graft,"$21,272.50"
Stent Graft,"$11,250.00"
Stent Graft,"$8,079.00"
Stent Graft,"$26,932.50"
Stent Graft,"$14,250.00"
Stent Graft,"$35,212.50"
Stent Graft,"$16,392.50"
Stent Graft,"$11,370.00"
Stent Graft,"$30,307.50"
Stent Graft,"$11,475.00"
Stent Graft,"$31,655.25"
Stent Graft,"$11,673.00"
Stent Graft,"$9,720.00"
Stent Graft,"$12,069.00"
Stent Graft,"$10,320.00"
Stent Graft,"$33,860.25"
Stent Graft,"$31,612.50"
Stent Graft,"$13,800.00"
Stent Graft,"$10,038.00"
Stent Graft,"$12,492.00"
Stent Graft,"$28,857.38"
Stent Graft,"$48,476.25"
Stent Graft,"$12,585.00"
Stent Graft,"$6,237.00"
Stent Graft,"$12,255.00"
Stent Graft,"$11,613.00"
Stent Graft,"$16,566.25"
Stent Graft,"$42,581.25"
Stent Graft,"$16,688.75"
Stent Graft,"$3,412.50"
Stent Graft,"$20,470.00"
Stent Graft,"$13,569.00"
Stent Graft,"$14,220.00"
Stent Graft,"$20,180.00"
Stent Graft,"$16,382.50"
Stent Graft,"$11,964.00"
Stent Graft,"$12,876.00"
Stent Graft,"$14,091.00"
Stent Graft,"$6,365.00"
Stent Graft,"$32,212.50"
Stent Graft,"$10,500.00"
Stent Graft,"$13,869.00"
Stent Graft,"$28,857.88"
Stent Ics 5 X 38 X 80Cm,"$9,975.00"
Stent Ics 6 X 38 X 80Cm,"$9,975.00"
Stent Intro,$380.00
Stent Ls Otw 10 X 40 X 130,"$3,937.50"
Stent Ls Otw 10 X 60 X 130,"$3,937.50"
Stent Ls Otw 6 X 100 X 130,"$3,937.50"
Stent Ls Otw 6 X 120 X 130,"$4,375.00"
Stent Ls Otw 6 X 40 X 130,"$3,937.50"
Stent Ls Otw 6 X 60 X 130,"$3,937.50"
Stent Ls Otw 6 X 80 X 130,"$3,937.50"
Stent Ls Otw 7 X 100 X 130,"$4,112.50"
Stent Ls Otw 7 X 120 X 130,"$5,162.50"
Stent Ls Otw 7 X 40 X 130,"$3,937.50"
Stent Ls Otw 7 X 60 X 130,"$3,937.50"
Stent Ls Otw 7 X 80 X 130,"$3,937.50"
Stent Ls Otw 8 X 20 X 130,"$3,937.50"
Stent Ls Otw 8 X 30 X 130,"$3,937.50"
Stent Ls Otw 8 X 40 X 130,"$3,937.50"
Stent Multilink 8 Ll 3.5X33 Mm,"$3,092.00"
Stent Multilink 8 Ll 3.5X38 Mm,"$3,092.00"
Stent Multilink 8 Ll 3X33 Mm,"$3,092.00"
Stent Multilink 8 Ll 3X38 Mm,"$3,092.00"
Stent Multilink 8 Ll 4X33 Mm,"$3,092.00"
Stent Multilink 8 Ll 4X38 Mm,"$3,092.00"
Stent Nocov Ls 6 X 200,"$9,450.00"
Stent Noncov Gm 2.8X16 Rx,"$9,435.00"
Stent Noncov Gm 2.8X19 Rx,"$9,435.00"
Stent Noncov Gm 3.5X16 Rx,"$9,435.00"
Stent Noncov Gm 3.5X19 Rx,"$9,435.00"
Stent Noncov Gm 4X16 Rx,"$9,435.00"
Stent Noncov Lfst 6 X 120 X 130,"$4,375.00"
Stent Noncov Lfst 7 X 100 X 130,"$4,112.50"
Stent Noncov Lfst 7 X 120 X 130,"$5,162.50"
Stent Noncov Lfst6 X 100 X 130,"$3,937.50"
Stent Noncov Ls 7 X 201,"$9,450.00"
Stent Noncov Mv 2.0 X 12 Mm Rx,"$2,420.00"
Stent Noncov Mv2.0 X 15Mm Rx,"$2,420.00"
Stent Noncov Mv2.0 X 18 Mm Rx,"$2,420.00"
Stent Noncov Mv2.0 X 23 Mm Rx,"$2,420.00"
Stent Noncov Mv2.0 X 28 Mm Rx,"$2,420.00"
Stent Noncov Mv2.0 X 8 Mm Rx,"$2,420.00"
Stent Noncov Mv2.25 X 12 Mmrx,"$2,420.00"
Stent Noncov Mv2.25 X 15 Mm Rx,"$2,420.00"
Stent Noncov Mv2.25 X 18 Mm,"$2,420.00"
Stent Noncov Mv2.25 X 23 Mmrx,"$2,420.00"
Stent Noncov Mv2.25 X 28 Mm Rx,"$2,420.00"
Stent Noncov Mv2.25 X 8 Mm Rx,"$2,420.00"
Stent Noncov Mv2.5 X 12 Mm Rx,"$2,420.00"
Stent Noncov Mv2.5 X 15 Mm Rx,"$2,420.00"
Stent Noncov Mv2.5 X 18 Mm Rx,"$2,420.00"
Stent Noncov Mv2.5 X 23 Mm Rx,"$2,420.00"
Stent Noncov Mv2.5 X 28 Mmrx,"$2,420.00"
Stent Noncov Mv2.5 X 8 Mm Rx,"$2,420.00"
Stent Noncov U4.5 X 13 Mm Rx,"$2,420.00"
Stent Noncov U4.5 X 18 Mm Rx,"$2,420.00"
Stent Noncov U4.5 X 28 Mm Rx,"$2,420.00"
Stent Noncov U5.0 X 13 Mm Rx,"$2,420.00"
Stent Noncov U5.0 X 18 Mm Rx,"$2,420.00"
Stent Noncov U5.0 X 28 Mm Rx,"$2,420.00"
Stent Noncov V2.75 X 12 Rx,"$2,420.00"
Stent Noncov V2.75 X 15 Rx,"$2,420.00"
Stent Noncov V2.75 X 18 Rx,"$2,420.00"
Stent Noncov V2.75 X 23 Rx,"$2,420.00"
Stent Noncov V2.75 X 28 Rx,"$2,420.00"
Stent Noncov V2.75 X 8 Rx,"$2,420.00"
Stent Noncov V3.0 X 12 Mm Rx,"$2,420.00"
Stent Noncov V3.0 X 15 Mm Rx,"$2,420.00"
Stent Noncov V3.0 X 18 Mm Rx,"$2,420.00"
Stent Noncov V3.0 X 23 Mm Rx,"$2,420.00"
Stent Noncov V3.0 X 28 Mm Rx,"$2,420.00"
Stent Noncov V3.0 X 8 Mm Rx,"$2,420.00"
Stent Noncov V3.5 X 12 Mm Rx,"$2,420.00"
Stent Noncov V3.5 X 15 Mm Rx,"$2,420.00"
Stent Noncov V3.5 X 18 Mm Rx,"$2,420.00"
Stent Noncov V3.5 X 23 Mm Rx,"$2,420.00"
Stent Noncov V3.5 X 28 Mm Rx,"$2,420.00"
Stent Noncov V3.5 X 8 Mm Rx,"$2,420.00"
Stent Noncov V4.0 X 12 Mm Rx,"$2,420.00"
Stent Noncov V4.0 X 15 Mm Rx,"$2,420.00"
Stent Noncov V4.0 X 18 Mm Rx,"$2,420.00"
Stent Noncov V4.0 X 23 Mm Rx,"$2,420.00"
Stent Noncov V4.0 X 28 Mm Rx,"$2,420.00"
Stent Noncov V4.0 X 8 Mm Rx,"$2,420.00"
Stent Noncovered Lsxl 10X40X80,"$3,937.50"
Stent Noncovered Lsxl 10X60X80,"$3,937.50"
Stent Noncovered Lsxl 6X150X130,"$5,162.50"
Stent Noncovered Lsxl 6X17X130,"$6,300.00"
Stent Noncovered Lsxl 6X40X130,"$3,937.50"
Stent Noncovered Lsxl 6X60X130,"$3,937.50"
Stent Noncovered Lsxl 6X80X130,"$3,937.50"
Stent Noncovered Lsxl 7X150X130,"$5,162.50"
Stent Noncovered Lsxl 7X170X130,"$6,300.00"
Stent Noncovered Lsxl 7X40X130,"$3,937.50"
Stent Noncovered Lsxl 7X60X130,"$3,937.50"
Stent Noncovered Lsxl 7X80X130,"$3,937.50"
Stent Noncovered Lsxl 8X40X80,"$3,937.50"
Stent Noncovered Lsxl 8X60X80,"$3,937.50"
Stent Smr 2.25 X 12 Mm,"$5,687.50"
Stent Smr 2.25 X 16 Mm,"$5,687.50"
Stent Smr 2.25 X 20 Mm,"$5,687.50"
Stent Smr 2.25 X 24 Mm,"$5,687.50"
Stent Smr 2.25 X 28 Mm,"$5,687.50"
Stent Smr 2.25 X 32 Mm,"$5,687.50"
Stent Smr 2.25 X 38 Mm,"$5,687.50"
Stent Smr 2.25 X 8 Mm,"$5,687.50"
Stent Smr 2.50 X 12 Mm,"$5,687.50"
Stent Smr 2.50 X 16 Mm,"$5,687.50"
Stent Smr 2.50 X 20 Mm,"$5,687.50"
Stent Smr 2.50 X 24 Mm,"$5,687.50"
Stent Smr 2.50 X 28 Mm,"$5,687.50"
Stent Smr 2.50 X 32 Mm,"$5,687.50"
Stent Smr 2.50 X 38 Mm,"$5,687.50"
Stent Smr 2.50 X 8 Mm,"$5,687.50"
Stent Smr 2.75 X 12 Mm,"$5,687.50"
Stent Smr 2.75 X 16 Mm,"$5,687.50"
Stent Smr 2.75 X 20 Mm,"$5,687.50"
Stent Smr 2.75 X 24 Mm,"$5,687.50"
Stent Smr 2.75 X 28 Mm,"$5,687.50"
Stent Smr 2.75 X 32 Mm,"$5,687.50"
Stent Smr 2.75 X 38 Mm,"$5,687.50"
Stent Smr 2.75 X 8 Mm,"$5,687.50"
Stent Smr 3.00 X 12 Mm,"$5,687.50"
Stent Smr 3.00 X 16 Mm,"$5,687.50"
Stent Smr 3.00 X 20 Mm,"$5,687.50"
Stent Smr 3.00 X 24 Mm,"$5,687.50"
Stent Smr 3.00 X 28 Mm,"$5,687.50"
Stent Smr 3.00 X 32 Mm,"$5,687.50"
Stent Smr 3.00 X 38 Mm,"$5,687.50"
Stent Smr 3.00 X 8 Mm,"$5,687.50"
Stent Smr 3.50 X 12 Mm,"$5,687.50"
Stent Smr 3.50 X 16 Mm,"$5,687.50"
Stent Smr 3.50 X 20 Mm,"$5,687.50"
Stent Smr 3.50 X 24 Mm,"$5,687.50"
Stent Smr 3.50 X 28 Mm,"$5,687.50"
Stent Smr 3.50 X 32 Mm,"$5,687.50"
Stent Smr 3.50 X 38 Mm,"$5,687.50"
Stent Smr 3.50 X 8 Mm,"$5,687.50"
Stent Smr 4.00 X 12 Mm,"$5,687.50"
Stent Smr 4.00 X 16 Mm,"$5,687.50"
Stent Smr 4.00 X 20 Mm,"$5,687.50"
Stent Smr 4.00 X 24 Mm,"$5,687.50"
Stent Smr 4.00 X 28 Mm,"$5,687.50"
Stent Smr 4.00 X 32 Mm,"$5,687.50"
Stent Smr 4.00 X 38 Mm,"$5,687.50"
Stent Smr 4.00 X 8 Mm,"$5,687.50"
Stent V Bx Otw 10 X 26 X 80,"$3,325.00"
Stent V Bx Otw 10 X 36 X 80,"$3,325.00"
Stent V Bx Otw 6 X 18 X 120,"$3,325.00"
Stent V Bx Otw 6 X 18 X 80,"$3,325.00"
Stent V Bx Otw 6 X 26 X 120,"$3,325.00"
Stent V Bx Otw 6 X 26 X 80,"$3,325.00"
Stent V Bx Otw 6 X 36 X 80,"$3,325.00"
Stent V Bx Otw 7 X 18 X 120,"$3,325.00"
Stent V Bx Otw 7 X 18 X 80,"$3,325.00"
Stent V Bx Otw 7 X 26 X 80,"$3,325.00"
Stent V Bx Otw 7 X 36 X 80,"$3,325.00"
Stent V Bx Otw 7 X 56 X 80,"$3,325.00"
Stent V Bx Otw 8 X 18 X 120,"$3,325.00"
Stent V Bx Otw 8 X 18 X 80,"$3,325.00"
Stent V Bx Otw 8 X 26 X 120,"$3,325.00"
Stent V Bx Otw 8 X 26 X 80,"$3,325.00"
Stent V Bx Otw 8 X 36 X 80,"$3,325.00"
Stent V Bx Otw 8 X 56 X 80,"$3,325.00"
Stent V Bx Otw 9 X 26 X 120,"$3,325.00"
Stent V Bx Otw 9 X 26 X 80,"$3,325.00"
Stent V Bx Otw 9 X 36 X 80,"$3,325.00"
Sterile Empty Vial 10ML,$0.00
Sterile Talc Powder,"$1,027.45"
Sterile Water 1000mL,$100.00
Sterile Water 10mL I,$25.00
Sterile Water 20mL I,$25.00
Sterile Water 50mL I,$25.00
Sterile Water For Inj,$100.00
Sterile Water Inj Bacteriostatic,$25.00
Sterna Band,$152.25
Sternal Closure Flatwire,"$2,320.00"
Stimulation & Pace After Iv Drug,"$8,167.00"
Stone Analysis,$127.00
Strattice 1Cm For 10X16Cm,$96.72
Strattice 1Cm For 16X20Cm,$82.66
Strattice 1Cm For 20X30Cm,$73.16
Strattice 1Cm For 6X16Cm,$105.81
Strattice 1Cm For 6X8Cm,$112.66
Strattice 1Cm For 8X16Cm,$99.91
Strep A Pcr,$168.00
Strep B Pcr,$220.00
Streptococcus Pneumo Ag Csf,$116.00
Streptococcus Pneumo Ag Urine,$116.00
Streptolysin O Antibody,$118.00
Stress Test 6 Minutes Simple,$431.00
Striated Muscle Ab Screen,$123.00
Striated Muscle Ab Titer,$56.00
Strut Cortical,"$3,145.60"
Strut Cortical,"$2,127.20"
Strut Cortical,"$4,312.00"
STS Aphasia Assessment Hr,$339.00
STS Cognitive Treatment,$91.00
STS Eval Cognition,$356.00
STS Eval Fluency,$324.00
STS Eval Language Only,$544.00
STS Eval Sound Production,$270.00
STS Eval Speech And Language,$544.00
STS Eval Swallow,$378.00
STS Eval Voice,$393.00
STS Eval Voice Prosthesis,$277.00
STS Speech Group 15 Min,$85.00
STS Speech Group 30 Min,$85.00
STS Speech Group 45 Min,$85.00
STS Speech Group 60 Min,$85.00
STS Speech Treatment,$213.00
STS Swallow Treament,$328.00
STS Video Swallow Study,$378.00
Substance P,$194.00
Succimer 100mg Cap,$114.90
Succinylcholine 20mg/mL NS 10mL IS,$230.65
Sucralfate 0.1g/1mL Oral Liq,$10.00
Sucralfate 1g T(Carafate),$10.00
Sucralfate 1g/10mL L UD,$71.20
